Symbol,Date,Action,Price,Next_Close,PnL
BHARTIARTL,1970-01-01 00:00:00.000000051,HOLD,2009.6,2019.4,0
BHARTIARTL,1970-01-01 00:00:00.000000052,HOLD,2019.4,2033.3,0
BHARTIARTL,1970-01-01 00:00:00.000000053,HOLD,2033.3,2019.3,0
BHARTIARTL,1970-01-01 00:00:00.000000054,HOLD,2019.3,2017.2,0
BHARTIARTL,1970-01-01 00:00:00.000000055,HOLD,2017.2,2033.9,0
BHARTIARTL,1970-01-01 00:00:00.000000056,HOLD,2033.9,2030.0,0
BHARTIARTL,1970-01-01 00:00:00.000000057,HOLD,2030.0,2019.7,0
BHARTIARTL,1970-01-01 00:00:00.000000058,HOLD,2019.7,1964.5,0
BHARTIARTL,1970-01-01 00:00:00.000000059,HOLD,1964.5,1921.9,0
BHARTIARTL,1970-01-01 00:00:00.000000060,HOLD,1921.9,1920.9,0
BHARTIARTL,1970-01-01 00:00:00.000000061,HOLD,1920.9,1934.2,0
BHARTIARTL,1970-01-01 00:00:00.000000062,HOLD,1934.2,1936.6,0
BHARTIARTL,1970-01-01 00:00:00.000000063,HOLD,1936.6,1929.9,0
BHARTIARTL,1970-01-01 00:00:00.000000064,HOLD,1929.9,1901.0,0
BHARTIARTL,1970-01-01 00:00:00.000000065,HOLD,1901.0,1909.2,0
BHARTIARTL,1970-01-01 00:00:00.000000066,HOLD,1909.2,1906.8,0
BHARTIARTL,1970-01-01 00:00:00.000000067,HOLD,1906.8,1943.8,0
BHARTIARTL,1970-01-01 00:00:00.000000068,HOLD,1943.8,1936.1,0
BHARTIARTL,1970-01-01 00:00:00.000000069,HOLD,1936.1,1937.9,0
BHARTIARTL,1970-01-01 00:00:00.000000070,HOLD,1937.9,1890.3,0
BHARTIARTL,1970-01-01 00:00:00.000000071,HOLD,1890.3,1918.3,0
BHARTIARTL,1970-01-01 00:00:00.000000072,HOLD,1918.3,1932.6,0
BHARTIARTL,1970-01-01 00:00:00.000000073,HOLD,1932.6,1914.3,0
BHARTIARTL,1970-01-01 00:00:00.000000074,HOLD,1914.3,1884.4,0
BHARTIARTL,1970-01-01 00:00:00.000000075,HOLD,1884.4,1914.6,0
BHARTIARTL,1970-01-01 00:00:00.000000076,HOLD,1914.6,1931.8,0
BHARTIARTL,1970-01-01 00:00:00.000000077,HOLD,1931.8,1929.7,0
BHARTIARTL,1970-01-01 00:00:00.000000078,HOLD,1929.7,1922.6,0
BHARTIARTL,1970-01-01 00:00:00.000000079,HOLD,1922.6,1858.6,0
BHARTIARTL,1970-01-01 00:00:00.000000080,HOLD,1858.6,1857.4,0
BHARTIARTL,1970-01-01 00:00:00.000000081,HOLD,1857.4,1850.3,0
BHARTIARTL,1970-01-01 00:00:00.000000082,HOLD,1850.3,1867.4,0
BHARTIARTL,1970-01-01 00:00:00.000000083,HOLD,1867.4,1873.8,0
BHARTIARTL,1970-01-01 00:00:00.000000084,HOLD,1873.8,1892.3,0
BHARTIARTL,1970-01-01 00:00:00.000000085,HOLD,1892.3,1909.7,0
BHARTIARTL,1970-01-01 00:00:00.000000086,HOLD,1909.7,1928.4,0
BHARTIARTL,1970-01-01 00:00:00.000000087,HOLD,1928.4,1929.9,0
BHARTIARTL,1970-01-01 00:00:00.000000088,HOLD,1929.9,1933.3,0
BHARTIARTL,1970-01-01 00:00:00.000000089,HOLD,1933.3,1930.7,0
BHARTIARTL,1970-01-01 00:00:00.000000090,HOLD,1930.7,1904.7,0
BHARTIARTL,1970-01-01 00:00:00.000000091,HOLD,1904.7,1881.1,0
BHARTIARTL,1970-01-01 00:00:00.000000092,HOLD,1881.1,1888.8,0
BHARTIARTL,1970-01-01 00:00:00.000000093,HOLD,1888.8,1900.6,0
BHARTIARTL,1970-01-01 00:00:00.000000094,HOLD,1900.6,1887.2,0
BHARTIARTL,1970-01-01 00:00:00.000000095,HOLD,1887.2,1883.9,0
BHARTIARTL,1970-01-01 00:00:00.000000096,HOLD,1883.9,1880.4,0
BHARTIARTL,1970-01-01 00:00:00.000000097,HOLD,1880.4,1895.3,0
BHARTIARTL,1970-01-01 00:00:00.000000098,HOLD,1895.3,1887.7,0
BHARTIARTL,1970-01-01 00:00:00.000000099,HOLD,1887.7,1893.7,0
BHARTIARTL,1970-01-01 00:00:00.000000100,HOLD,1893.7,1891.4,0
BHARTIARTL,1970-01-01 00:00:00.000000101,HOLD,1891.4,1913.0,0
BHARTIARTL,1970-01-01 00:00:00.000000102,HOLD,1913.0,1902.6,0
BHARTIARTL,1970-01-01 00:00:00.000000103,HOLD,1902.6,1904.5,0
BHARTIARTL,1970-01-01 00:00:00.000000104,HOLD,1904.5,1939.5,0
BHARTIARTL,1970-01-01 00:00:00.000000105,HOLD,1939.5,1941.3,0
BHARTIARTL,1970-01-01 00:00:00.000000106,HOLD,1941.3,1941.1,0
BHARTIARTL,1970-01-01 00:00:00.000000107,HOLD,1941.1,1962.4,0
BHARTIARTL,1970-01-01 00:00:00.000000108,HOLD,1962.4,1956.2,0
BHARTIARTL,1970-01-01 00:00:00.000000109,HOLD,1956.2,1938.7,0
BHARTIARTL,1970-01-01 00:00:00.000000110,HOLD,1938.7,1931.1,0
BHARTIARTL,1970-01-01 00:00:00.000000111,HOLD,1931.1,1935.6,0
BHARTIARTL,1970-01-01 00:00:00.000000112,HOLD,1935.6,1916.6,0
BHARTIARTL,1970-01-01 00:00:00.000000113,HOLD,1916.6,1902.2,0
BHARTIARTL,1970-01-01 00:00:00.000000114,HOLD,1902.2,1878.4,0
BHARTIARTL,1970-01-01 00:00:00.000000115,HOLD,1878.4,1867.6,0
BHARTIARTL,1970-01-01 00:00:00.000000116,HOLD,1867.6,1896.7,0
HDFCBANK,1970-01-01 00:00:00.000000051,HOLD,1000.35,1006.0,0
HDFCBANK,1970-01-01 00:00:00.000000052,HOLD,1006.0,992.85,0
HDFCBANK,1970-01-01 00:00:00.000000053,HOLD,992.85,992.8,0
HDFCBANK,1970-01-01 00:00:00.000000054,HOLD,992.8,994.6,0
HDFCBANK,1970-01-01 00:00:00.000000055,HOLD,994.6,993.6,0
HDFCBANK,1970-01-01 00:00:00.000000056,HOLD,993.6,1000.75,0
HDFCBANK,1970-01-01 00:00:00.000000057,HOLD,1000.75,1005.3,0
HDFCBANK,1970-01-01 00:00:00.000000058,HOLD,1005.3,1003.2,0
HDFCBANK,1970-01-01 00:00:00.000000059,HOLD,1003.2,991.8,0
HDFCBANK,1970-01-01 00:00:00.000000060,HOLD,991.8,991.5,0
HDFCBANK,1970-01-01 00:00:00.000000061,HOLD,991.5,997.65,0
HDFCBANK,1970-01-01 00:00:00.000000062,HOLD,997.65,998.1,0
HDFCBANK,1970-01-01 00:00:00.000000063,HOLD,998.1,993.3,0
HDFCBANK,1970-01-01 00:00:00.000000064,HOLD,993.3,978.7,0
HDFCBANK,1970-01-01 00:00:00.000000065,HOLD,978.7,1000.1,0
HDFCBANK,1970-01-01 00:00:00.000000066,HOLD,1000.1,1003.4,0
HDFCBANK,1970-01-01 00:00:00.000000067,HOLD,1003.4,1012.3,0
HDFCBANK,1970-01-01 00:00:00.000000068,HOLD,1012.3,1007.0,0
HDFCBANK,1970-01-01 00:00:00.000000069,HOLD,1007.0,1002.25,0
HDFCBANK,1970-01-01 00:00:00.000000070,HOLD,1002.25,1004.0,0
HDFCBANK,1970-01-01 00:00:00.000000071,HOLD,1004.0,1011.15,0
HDFCBANK,1970-01-01 00:00:00.000000072,HOLD,1011.15,1012.8,0
HDFCBANK,1970-01-01 00:00:00.000000073,HOLD,1012.8,1009.35,0
HDFCBANK,1970-01-01 00:00:00.000000074,HOLD,1009.35,1006.1,0
HDFCBANK,1970-01-01 00:00:00.000000075,HOLD,1006.1,996.1,0
HDFCBANK,1970-01-01 00:00:00.000000076,HOLD,996.1,988.3,0
HDFCBANK,1970-01-01 00:00:00.000000077,HOLD,988.3,991.5,0
HDFCBANK,1970-01-01 00:00:00.000000078,HOLD,991.5,997.7,0
HDFCBANK,1970-01-01 00:00:00.000000079,HOLD,997.7,986.5,0
HDFCBANK,1970-01-01 00:00:00.000000080,HOLD,986.5,998.0,0
HDFCBANK,1970-01-01 00:00:00.000000081,HOLD,998.0,985.0,0
HDFCBANK,1970-01-01 00:00:00.000000082,HOLD,985.0,989.7,0
HDFCBANK,1970-01-01 00:00:00.000000083,HOLD,989.7,995.7,0
HDFCBANK,1970-01-01 00:00:00.000000084,HOLD,995.7,1001.8,0
HDFCBANK,1970-01-01 00:00:00.000000085,HOLD,1001.8,995.6,0
HDFCBANK,1970-01-01 00:00:00.000000086,HOLD,995.6,994.0,0
HDFCBANK,1970-01-01 00:00:00.000000087,HOLD,994.0,995.1,0
HDFCBANK,1970-01-01 00:00:00.000000088,HOLD,995.1,982.4,0
HDFCBANK,1970-01-01 00:00:00.000000089,HOLD,982.4,982.25,0
HDFCBANK,1970-01-01 00:00:00.000000090,HOLD,982.25,973.05,0
HDFCBANK,1970-01-01 00:00:00.000000091,HOLD,973.05,958.0,0
HDFCBANK,1970-01-01 00:00:00.000000092,HOLD,958.0,951.45,0
HDFCBANK,1970-01-01 00:00:00.000000093,HOLD,951.45,950.7,0
HDFCBANK,1970-01-01 00:00:00.000000094,HOLD,950.7,944.4,0
HDFCBANK,1970-01-01 00:00:00.000000095,HOLD,944.4,953.8,0
HDFCBANK,1970-01-01 00:00:00.000000096,HOLD,953.8,961.2,0
HDFCBANK,1970-01-01 00:00:00.000000097,HOLD,961.2,962.9,0
HDFCBANK,1970-01-01 00:00:00.000000098,HOLD,962.9,965.75,0
HDFCBANK,1970-01-01 00:00:00.000000099,HOLD,965.75,964.9,0
HDFCBANK,1970-01-01 00:00:00.000000100,HOLD,964.9,966.05,0
HDFCBANK,1970-01-01 00:00:00.000000101,HOLD,966.05,968.1,0
HDFCBANK,1970-01-01 00:00:00.000000102,HOLD,968.1,966.9,0
HDFCBANK,1970-01-01 00:00:00.000000103,HOLD,966.9,966.7,0
HDFCBANK,1970-01-01 00:00:00.000000104,HOLD,966.7,966.95,0
HDFCBANK,1970-01-01 00:00:00.000000105,HOLD,966.95,966.4,0
HDFCBANK,1970-01-01 00:00:00.000000106,HOLD,966.4,976.55,0
HDFCBANK,1970-01-01 00:00:00.000000107,HOLD,976.55,967.05,0
HDFCBANK,1970-01-01 00:00:00.000000108,HOLD,967.05,963.8,0
HDFCBANK,1970-01-01 00:00:00.000000109,HOLD,963.8,957.55,0
HDFCBANK,1970-01-01 00:00:00.000000110,HOLD,957.55,950.5,0
HDFCBANK,1970-01-01 00:00:00.000000111,HOLD,950.5,949.6,0
HDFCBANK,1970-01-01 00:00:00.000000112,HOLD,949.6,945.15,0
HDFCBANK,1970-01-01 00:00:00.000000113,HOLD,945.15,950.45,0
HDFCBANK,1970-01-01 00:00:00.000000114,HOLD,950.45,951.15,0
HDFCBANK,1970-01-01 00:00:00.000000115,HOLD,951.15,965.2,0
HDFCBANK,1970-01-01 00:00:00.000000116,HOLD,965.2,964.75,0
INFY,1970-01-01 00:00:00.000000051,HOLD,1601.8,1606.8,0
INFY,1970-01-01 00:00:00.000000052,HOLD,1606.8,1610.5,0
INFY,1970-01-01 00:00:00.000000053,HOLD,1610.5,1618.7,0
INFY,1970-01-01 00:00:00.000000054,HOLD,1618.7,1640.7,0
INFY,1970-01-01 00:00:00.000000055,HOLD,1640.7,1627.0,0
INFY,1970-01-01 00:00:00.000000056,HOLD,1627.0,1638.7,0
INFY,1970-01-01 00:00:00.000000057,HOLD,1638.7,1633.7,0
INFY,1970-01-01 00:00:00.000000058,HOLD,1633.7,1615.8,0
INFY,1970-01-01 00:00:00.000000059,HOLD,1615.8,1594.9,0
INFY,1970-01-01 00:00:00.000000060,HOLD,1594.9,1570.3,0
INFY,1970-01-01 00:00:00.000000061,HOLD,1570.3,1585.6,0
INFY,1970-01-01 00:00:00.000000062,HOLD,1585.6,1607.9,0
INFY,1970-01-01 00:00:00.000000063,HOLD,1607.9,1583.5,0
INFY,1970-01-01 00:00:00.000000064,HOLD,1583.5,1586.1,0
INFY,1970-01-01 00:00:00.000000065,HOLD,1586.1,1584.3,0
INFY,1970-01-01 00:00:00.000000066,HOLD,1584.3,1570.9,0
INFY,1970-01-01 00:00:00.000000067,HOLD,1570.9,1574.5,0
INFY,1970-01-01 00:00:00.000000068,HOLD,1574.5,1552.5,0
INFY,1970-01-01 00:00:00.000000069,HOLD,1552.5,1515.7,0
INFY,1970-01-01 00:00:00.000000070,HOLD,1515.7,1516.0,0
INFY,1970-01-01 00:00:00.000000071,HOLD,1516.0,1513.7,0
INFY,1970-01-01 00:00:00.000000072,HOLD,1513.7,1519.0,0
INFY,1970-01-01 00:00:00.000000073,HOLD,1519.0,1509.0,0
INFY,1970-01-01 00:00:00.000000074,HOLD,1509.0,1469.6,0
INFY,1970-01-01 00:00:00.000000075,HOLD,1469.6,1480.5,0
INFY,1970-01-01 00:00:00.000000076,HOLD,1480.5,1460.3,0
INFY,1970-01-01 00:00:00.000000077,HOLD,1460.3,1436.7,0
INFY,1970-01-01 00:00:00.000000078,HOLD,1436.7,1436.9,0
INFY,1970-01-01 00:00:00.000000079,HOLD,1436.9,1423.1,0
INFY,1970-01-01 00:00:00.000000080,HOLD,1423.1,1428.2,0
INFY,1970-01-01 00:00:00.000000081,HOLD,1428.2,1424.1,0
INFY,1970-01-01 00:00:00.000000082,HOLD,1424.1,1426.6,0
INFY,1970-01-01 00:00:00.000000083,HOLD,1426.6,1447.7,0
INFY,1970-01-01 00:00:00.000000084,HOLD,1447.7,1435.8,0
